iter	Passed	Remaining
397	3599	5445
398	3606	5431
399	3611	5416
400	3615	5400
401	3624	5391
402	3628	5375
403	3633	5359
404	3636	5342
405	3643	5330
406	3646	5313
407	3651	5297
408	3654	5281
409	3665	5274
410	3673	5264
411	3680	5252
412	3684	5236
413	3688	5220
414	3691	5203
415	3699	5193
416	3703	5178
417	3707	5161
418	3712	5147
419	3717	5133
420	3722	5118
421	3727	5105
422	3733	5093
423	3737	5077
424	3742	5062
425	3754	5058
426	3758	5043
427	3763	5029
428	3771	5019
429	3776	5005
430	3780	4990
431	3784	4976
432	3804	4981
433	3807	4965
434	3816	4957
435	3820	4942
436	3824	4927
437	3835	4921
438	3840	4908
439	3845	4893
440	3850	4880
441	3855	4867
442	3858	4851
443	3862	4836
444	3869	4826
445	3874	4812
446	3878	4798
447	3884	4785
448	3888	4771
449	3892	4757
450	3897	4743
451	3903	4732
452	3908	4719
453	3913	4706
454	3917	4692
455	3921	4678
456	3925	4664
457	3929	4650
458	3937	4640
459	3941	4627
460	3946	4613
461	3951	4602
462	3963	4596
463	3967	4583
464	3976	4575
465	3980	4561
466	3984	4547
467	3993	4539
468	3996	4525
469	4022	4535
470	4028	4524
471	4036	4515
472	4041	4502
473	4047	4491
474	4054	4481
475	4058	4468
476	4066	4458
477	4071	4445
478	4075	4432
479	4079	4419
480	4086	4409
481	4091	4396
482	4095	4383
483	4100	4371
484	4106	4360
485	4110	4347
486	4115	4335
487	4123	4326
488	4128	4314
489	4133	4302
490	4147	4299
491	4151	4286
492	4157	4275
493	4163	4265
494	4167	4251
495	4171	4238
496	4178	4228
497	4182	4215
498	4186	4203
499	4189	4189
500	4197	4180
501	4201	4167
502	4204	4154
503	4210	4143
504	4215	4132
505	4220	4120
506	4229	4112
507	4259	4125
508	4263	4112
509	4269	4102
510	4274	4090
511	4278	4077
512	4282	4065
513	4290	4056
514	4294	4043
515	4298	4031
516	4303	4020
517	4308	4009
518	4313	3997
519	4318	3986
520	4326	3977
521	4332	3967
522	4337	3956
523	4345	3947
524	4350	3936
525	4354	3924
526	4360	3913
527	4364	3902
528	4369	3889
529	4372	3877
530	4380	3869
531	4384	3857
532	4389	3845
533	4393	3834
534	4401	3825
535	4406	3814
536	4414	3806
537	4420	3795
538	4432	3791
539	4440	3782
540	4444	3771
541	4448	3759
542	4455	3749
543	4459	3737
544	4480	3740
545	4486	3730
546	4492	3720
547	4497	3709
548	4503	3699
549	4513	3693
550	4519	3682
551	4523	3671
552	4529	3661
553	4534	3650
554	4537	3638
555	4541	3626
556	4550	3618
557	4554	3607
558	4559	3596
559	4565	3587
560	4569	3575
561	4572	3563
562	4576	3552
563	4585	3544
564	4590	3533
565	4594	3523
566	4601	3514
567	4607	3504
568	4611	3493
569	4617	3483
570	4623	3473
571	4626	3462
572	4630	3450
573	4637	3441
574	4641	3430
575	4646	3420
576	4650	3408
577	4659	3401
578	4662	3390
579	4667	3379
580	4676	3372
581	4682	3363
582	4687	3352
583	4729	3368
584	4737	3360
585	4741	3349
586	4745	3338
587	4750	3328
588	4754	3317
589	4757	3306
590	4768	3300
591	4773	3289
592	4777	3279
593	4783	3269
594	4787	3258
595	4793	3249
596	4802	3242
597	4808	3232
598	4813	3222
599	4820	3213
600	4825	3203
601	4830	3193
602	4834	3183
603	4846	3177
604	4851	3167
605	4860	3159
606	4864	3149
607	4869	3139
608	4875	3130
609	4884	3122
610	4890	3113
611	4899	3106
612	4904	3096
613	4908	3085
614	4917	3078
615	4921	3067
616	4946	3070
617	4953	3061
618	4958	3051
619	4962	3041
620	4978	3038
621	4983	3028
622	4992	3020
623	4996	3010
624	4999	2999
625	5005	2990
626	5009	2980
627	5013	2969
628	5017	2959
629	5025	2951
630	5030	2941
631	5034	2931
632	5040	2922
633	5045	2912
634	5049	2902
635	5052	2891
636	5056	2881
637	5062	2872
638	5067	2862
639	5072	2853
640	5081	2846
641	5087	2837
642	5091	2826
643	5098	2818
644	5104	2809
645	5108	2799
646	5119	2792
647	5123	2783
648	5126	2772
649	5133	2764
650	5138	2754
651	5142	2744
652	5147	2735
653	5153	2726
654	5181	2729
655	5192	2722
656	5197	2713
657	5201	2703
658	5205	2693
659	5213	2685
660	5218	2676
661	5221	2666
662	5228	2657
663	5234	2648
664	5237	2638
665	5241	2628
666	5249	2621
667	5255	2611
668	5261	2602
669	5266	2594
670	5271	2584
671	5276	2575
672	5282	2566
673	5288	2558
674	5292	2548
675	5298	2539
676	5303	2530
677	5307	2520
678	5310	2510
679	5316	2501
680	5322	2493
681	5327	2484
682	5334	2475
683	5342	2467
684	5346	2458
685	5352	2449
686	5356	2440
687	5365	2433
688	5371	2424
689	5396	2424
690	5415	2421
691	5423	2413
692	5428	2405
693	5434	2396
694	5445	2389
695	5448	2379
696	5452	2370
697	5461	2363
698	5466	2354
699	5471	2344
700	5482	2338
701	5485	2328
702	5489	2319
703	5495	2310
704	5500	2301
705	5504	2292
706	5508	2282
707	5513	2274
708	5519	2265
709	5524	2256
710	5534	2249
711	5541	2241
712	5545	2232
713	5552	2224
714	5559	2215
715	5563	2206
716	5568	2198
717	5575	2189
718	5579	2180
719	5583	2171
720	5593	2164
721	5598	2155
722	5615	2151
723	5632	2147
724	5638	2138
725	5642	2129
726	5647	2120
727	5656	2113
728	5660	2104
729	5664	2095
730	5672	2087
731	5676	2078
732	5680	2069
733	5684	2059
734	5690	2051
735	5695	2043
736	5700	2034
737	5710	2027
738	5714	2018
739	5717	2008
740	5722	2000
741	5727	1991
742	5731	1982
743	5736	1973
744	5744	1966
745	5747	1957
746	5752	1948
747	5757	1939
748	5762	1931
749	5766	1922
750	5771	1913
751	5783	1907
752	5788	1898
753	5795	1890
754	5801	1882
755	5804	1873
756	5808	1864
757	5817	1857
758	5821	1848
759	5825	1839
760	5846	1836
761	5851	1827
762	5856	1819
763	5865	1811
764	5870	1803
765	5878	1795
766	5883	1787
767	5888	1778
768	5892	1770
769	5899	1762
770	5904	1753
771	5907	1744
772	5911	1735
773	5918	1728
774	5922	1719
775	5926	1710
776	5930	1702
777	5936	1694
778	5941	1685
779	5945	1676
780	5949	1668
781	5956	1660
782	5960	1651
783	5965	1643
784	5970	1635
785	5975	1626
786	5979	1618
787	5983	1609
788	5990	1601
789	5996	1593
790	6000	1585
791	6007	1577
792	6013	1569
793	6017	1561
794	6025	1553
795	6031	1545
796	6036	1537
797	6042	1529
798	6048	1521
799	6073	1518
800	6079	1510
801	6083	1502
802	6087	1493
803	6094	1485
804	6098	1477
805	6101	1468
806	6105	1460
807	6113	1452
808	6117	1444
809	6120	1435
810	6124	1427
811	6134	1420
812	6139	1412
813	6143	1403
814	6149	1395
815	6155	1388
816	6159	1379
817	6167	1372
818	6171	1363
819	6175	1355
820	6178	1347
821	6184	1339
822	6189	1331
823	6193	1322
824	6198	1314
825	6210	1308
826	6215	1300
827	6227	1293
828	6233	1285
829	6239	1277
830	6244	1269
831	6253	1262
832	6261	1255
833	6270	1248
834	6303	1245
835	6307	1237
836	6312	1229
837	6324	1222
838	6340	1216
839	6345	1208
840	6357	1201
841	6361	1193
842	6365	1185
843	6369	1177
844	6376	1169
845	6380	1161
846	6383	1153
847	6389	1145
848	6393	1137
849	6397	1128
850	6401	1120
851	6405	1112
852	6410	1104
853	6413	1096
854	6418	1088
855	6424	1080
856	6428	1072
857	6433	1064
858	6437	1056
859	6443	1048
860	6449	1041
861	6453	1033
862	6459	1025
863	6466	1017
864	6472	1010
865	6482	1003
866	6485	994
867	6489	986
868	6492	978
869	6499	971
870	6506	963
871	6518	956
872	6523	949
873	6527	941
874	6531	933
875	6540	925
876	6544	917
877	6548	909
878	6555	902
879	6560	894
880	6563	886
881	6567	878
882	6576	871
883	6580	863
884	6584	855
885	6591	848
886	6595	840
887	6600	832
888	6608	825
889	6615	817
890	6619	809
891	6623	801
892	6628	794
893	6634	786
894	6638	778
895	6648	771
896	6653	763
897	6656	756
898	6660	748
899	6666	740
900	6670	732
901	6674	725
902	6679	717
903	6685	709
904	6690	702
905	6695	694
906	6706	687
907	6710	679
908	6714	672
909	6727	665
910	6749	659
911	6752	651
912	6757	643
913	6763	636
914	6767	628
915	6771	620
916	6779	613
917	6784	606
918	6791	598
919	6799	591
920	6804	583
921	6808	575
922	6815	568
923	6819	560
924	6823	553
925	6826	545
926	6832	538
927	6836	530
928	6840	522
929	6844	515
930	6851	507
931	6856	500
932	6859	492
933	6863	485
934	6870	477
935	6875	470
936	6880	462
937	6885	455
938	6894	447
939	6898	440
940	6901	432
941	6908	425
942	6912	417
943	6916	410
944	6920	402
945	6925	395
946	6929	387
947	6934	380
948	6938	372
949	6946	365
950	6975	359
951	6980	351
952	6985	344
953	6990	337
954	6996	329
955	7000	322
956	7004	314
957	7009	307
958	7015	299
959	7019	292
960	7023	285
961	7026	277
962	7032	270
963	7038	262
964	7042	255
965	7046	248
966	7051	240
967	7056	233
968	7061	225
969	7065	218
970	7072	211
971	7076	203
972	7080	196
973	7085	189
974	7092	181
975	7096	174
976	7100	167
977	7107	159
978	7111	152
979	7115	145
980	7119	137
981	7125	130
982	7129	123
983	7133	115
984	7137	108
985	7142	101
986	7147	94
987	7152	86
988	7158	79
989	7165	72
990	7169	65
991	7174	57
992	7202	50
993	7208	43
994	7217	36
995	7221	29
996	7225	21
997	7230	14
998	7237	7
999	7242	0
